"","licence_numbers","business_name","name_of_license","premise_address","postcodes","lat","long"
"162","J02010E000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","475 CHOA CHU KANG AVENUE 3 #01-01, S(680475)","680475",1.377783975,103.738882558366
"163","J02011C000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","464 UPPER BUKIT TIMAH ROAD, S(678077)","678077",1.36035045,103.767545949497
"164","J02013A000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","221 BOON LAY PLACE #02-200, BOON LAY SHOPPING CENTRE S(640221)","640221",9.26960036244329,12.4638997474203
"165","J02016P000","Seng Eng","NG TOH TET","442 JURONG WEST AVENUE 1 #01-756, S(640442)","640442",1.35162225,103.719809402184
"166","J02017N000","PRIME SUPERMARKET","PRIME SUPERMARKET (1996) PTE LTD","373 BUKIT BATOK STREET 31 #01-248, PRIME BUILDING S(650373)","650373",1.35891565,103.750378697867
"167","J02018L000","PRIME SUPERMARKET","PRIME SUPERMARKET (1996) PTE LTD","253 CHOA CHU KANG AVENUE 1 #B1-07/10, S(680253)","680253",1.37741528333333,103.74446334102
"168","J02019K000","PRIME SUPERMARKET","PRIME SUPERMARKET LIMITED","962 JURONG WEST STREET 91 #01-300, S(640962)","640962",1.3417031,103.691370943906
"169","J02020B000","PRIME SUPERMARKET","PRIME SUPERMARKET (1996) PTE LTD","142 TECK WHYE LANE #01-281, S(680142)","680142",1.3807422,103.752013191558
"170","J02021A000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","376 BUKIT BATOK STREET 31 #01-116, S(650376)","650376",1.35854245,103.749353711698
"171","J03027B000","JURONG ISLAND MINIMART","KADER HASNA MARICAN","17 KIAN TECK LANE #01-65, S(627851)","627851",8.86236104545455,77.4928248181818
"172","J03056N000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","492 JURONG WEST STREET 41, #01-24/26/28 S(640492) #01-24/26/28","640492",1.34981636875,103.724999904159
