"","Type","Name","Address","Region","postcode","lat","long"
"124","Market & Food Centre","Holland Village Market & Food Centre","1 Lorong Mambong, S(277700)","North West","277700",34.8591652,118.065023365773
"125","MRT Station","Admiralty MRT Station","70 Woodlands Avenue, S(738344)","North West","738344",1.44053895,103.8007608
"126","MRT Station","Cashew MRT Station (DT2)","1 Cashew Road, S(679696)","North West","679696",1.3692912,103.764714807961
"127","MRT Station","Dover MRT Station (EW22)","200 Commonwealth Avenue West, S(138677)","North West","138677",1.311379425,103.778628834699
"128","MRT Station","Hillview MRT Station (DT3)","510 Upper Bukit Timah Road, S(678211)","North West","678211",1.3624042,103.767427293728
"129","MRT Station","King Albert MRT Station (DT6)","2 Blackmore Drive, S(599987)","North West","599987",1.33592045,103.783782629812
"130","MRT Station","Kranji MRT Station","960 Woodlands Road, S(738702)","North West","738702",1.42523775,103.762016
"131","MRT Station","Marsiling MRT Station","71 Woodlands Avenue 3, S(739044)","North West","739044",1.43264,103.77429
"132","MRT Station","Sembawang MRT Station (NS11)","11 Canberra Road, S(759775)","North West","759775",1.4490414,103.8200194
"133","MRT Station","Sixth Avenue MRT Station (DT7)","777 Bukit Timah Road, S(269784)","North West","269784",1.3311003,103.797040520463
"134","MRT Station","Tan Kah Kee MRT Station (DT8)","651 Bukit Timah Road, S(266268)","North West","266268",43.711308,-79.9115963375738
"135","MRT Station","Woodlands MRT Station","30 Woodlands Avenue, S(738343)","North West","738343",1.43695936666667,103.786645133333
"136","MRT Station","Woodlands North Station (TEL1)","20 Woodlands North Coast Road, S(737668)","North West","737668",1.4486411,103.785524650282
"137","MRT Station","Yew Tee MRT Station","61 Choa Chu Kang Drive, S(689715)","North West","689715",1.39743156666667,103.747340133333
"138","MRT Station","Yishun MRT Station (NS13)","301 Yishun Avenue 2, S(769093)","North West","769093",1.42940815,103.83499895
"139","Shopping Centre","Admiralty Place","Blk 678 Woodlands Avenue 6, S(730678)","North West","730678",1.4405928,103.8018411
"140","Shopping Centre","Fajar Shopping Centre","445 Fajar Road, Level 1 & 2, S(670445)","North West","670445",1.38362026666667,103.770698061757
"141","Shopping Centre","Sembawang Mart","Blk 511 Canberra Road, S(750511)","North West","750511",1.45394,103.81945
"142","Shopping Centre","Vista Point","Blk 548 Woodlands Drive 44, S(730548)","North West","730548",1.43077365,103.79405085
"143","Shopping Centre","Woodlands Mart","Blk 768 Woodlands Street 61, S(730768)","North West","730768",1.44572145,103.79801785
"144","Bus Interchange","Bedok Bus Interchange","12 BedokNorth Drive, S(465492)","South East","465492",1.324682175,103.929640289489
"145","Bus Interchange","Changi Business Park Bus Terminal","55 Changi South Avenue 1, S(485997)","South East","485997",1.3423617,103.964398151408
"146","Bus Interchange","Eunos Bus Interchange","409 Eunos Road 2, S(409388)","South East","409388",1.31944525,103.9022244612
"147","Bus Interchange","Serangoon Bus Interchange","20 Serangoon Avenue 2, S(556138)","South East","556138",1.35049,103.87172
"148","Government Office","Heartbeat@Bedok","11 Bedok North Stree 1, S(469662)","South East","469662",1.32690675,103.932013348476
"149","Market & Food Centre","Bedok Food Centre","1 Bedok Road, S(469572)","South East","469572",1.3203453,103.955479421408
"150","Market & Food Centre","Blk 16 Bedok South Road Market & Food Centre","Blk 16, Bedok South Road, S(460016)","South East","460016",49.57013315,25.6399464749185
"151","Market & Food Centre","Dunman Food Centre","271 Onan Road, S(424768)","South East","424768",1.3093503,103.9018168
"152","Market & Food Centre","Geylang Serai Market","1 Geylang Serai, S(402001)","South East","402001",1.3166958,103.898219533687
"153","MRT Station","Aljunied MRT Station (EW9)","81 Lorong 25 Geylang, S(388310)","South East","388310",22.6398617,72.9844063
"154","MRT Station","Bedok MRT Station","315 New Upper Changi Road, S(467347)","South East","467347",1.3239765,103.930216
"155","MRT Station","Dakota MRT Station","201 Airport Road, S(397973)","South East","397973",1.3084317,103.888820848387
"156","MRT Station","Lorong Chuan MRT Station","150 Serangoon Avenue 3, S(554533)","South East","554533",1.352023,103.863545
"157","MRT Station","Macpherson MRT Station CC10","171 Paya Lebar Rd, S(409048)","South East","409048",1.3267152,103.8898092
"158","MRT Station","Mountbatten MRT Station","301 Mountbatten Road, S(398006)","South East","398006",52.5404484397893,39.5875231675913
"159","MRT Station","Paya Lebar MRT Station","30 Paya Lebar Road, S(409006)","South East","409006",1.31818536666667,103.892776633333
"160","MRT Station","Serangoon MRT Station (NE12)","600 Upper Serangoon Rd., S(534801)","South East","534801",1.3498611,103.87352165
"161","MRT Station","Simei MRT Station","30 Simei Street 3, S(529888)","South East","529888",1.3431843,103.9533524
"162","MRT Station","Stadium MRT Station","3 Stadium Walk, S(397692)","South East","397692",50.2614352833333,40.8712005326159
"163","MRT Station","Tai Seng MRT Station CC11","33 Upper Paya Lebar Rd, S(534803)","South East","534803",1.3356314,103.888108029299
"164","Shopping Centre","Joo Chiat Complex","1 Joo Chiat Road, S(420001)","South East","420001",55.8221436,49.1511805
"165","Shopping Centre","PLQ Mall","10 Paya Lebar Road, S(409057)","South East","409057",1.31758558076923,103.892924938337
"166","Shopping Centre","SingPost Centre","Singpost Centre, 10 Eunos Rd, S(408600)","South East","408600",1.31886176428571,103.89379063074
"167","Bus Interchange","Ang Mo Kio Bus Depot","Ang Mo Kio Street 52, S(569140)","Central","569140",1.3871,103.845
"168","Bus Interchange","Bishan Bus Interchange","514 Bishan Street 13, S(570514)","Central","570514",1.3504,103.849
"169","Bus Interchange","Harbourfront Bus Terminal","4 Seah Im Road, S(099115)","Central","099115",1.2669,103.819
"170","Bus Interchange","Shenton Way Bus Terminal","31 Shenton Way, S(079121)","Central","079121",1.2745,103.847
"171","Coffeeshop","CCMW Queen Street","Blk 269 Queen Street, #01-236, S(180269)","Central","180269",1.3005,103.853
"172","Foodcourt","NTUC Foodfare Court@Clifford Centre","Clifford Centre, 24 Raffles Place, S(048621)","Central","048621",1.2839,103.852
"173","Government Office","Ministry of the Environment & Water Resources, Environment Building","40, Scotts Road, Level 1-4, S(228231)","Central","228231",1.3106,103.836
"174","Government Office","PSA Tanjong Pagar Complex","7B Keppel Road, #19 - #21, S(089054)","Central","089054",1.2716,103.842
"175","Hospital","Sengkang General Hospital","110 Sengkang East Way, S(544886)","Central","544886",1.3944,103.893
"176","Market & Food Centre","Adam Road Food Centre","2 Adam Road, S(289876)","Central","289876",1.3241,103.814
"177","Market & Food Centre","Beo Crescent Market & Food Centre","38A Beo Crescent, S(169982)","Central","169982",1.2888,103.827
"178","Market & Food Centre","Market Street Hawker Centre","50, Market Street, S(048940)","Central","048940",1.285,103.85
"179","Market & Food Centre","Sembawang Hill Food Centre","590 Upper Thomson Road, S(574419)","Central","574419",1.3723,103.829
"180","Market & Food Centre","Tekka Centre Zhu Jiao Market","Blk 665 Buffalo Road, S(210665)","Central","210665",1.3062,103.85
"181","Market & Food Centre","Tiong Bahru Market","30 Seng Poh Road, S(168898)","Central","168898",1.2847,103.832
"182","Market & Food Centre","Whampoa Drive Makan Place@Blk 92","Blk 92 Whampoa Drive, S(320092)","Central","320092",1.3232,103.853
