"","Name","rack_count","longitude","latitude","address"
"330","kml_330",45,"103.850004670943","1.36924614908181","2450 Ang Mo Kio Ave 8, Ang Mo Kio, Singapore 569811"
"331","kml_331",74,"103.849575980682","1.36954400420396","2795 Ang Mo Kio Ave 8, Singapore 569812"
"332","kml_332",0,"103.850166286666","1.36957695779022","2450 Ang Mo Kio Ave 8, Ang Mo Kio, Singapore 569811"
"333","kml_333",20,"103.760960289032","1.42459258294607","Opp Kranji Stn, Singapore"
"334","kml_334",130,"103.747687259006","1.39882661506578","621 Choa Chu Kang Street 62, Block 621, Singapore 680621"
"335","kml_335",50,"103.747333890038","1.39807843353397","623 Choa Chu Kang Street 62, Singapore 680623"
"336","kml_336",20,"103.747361403494","1.39807213382883","623 Choa Chu Kang Street 62, Singapore 680623"
"337","kml_337",170,"103.747139378866","1.39714730195058","61 Choa Chu Kang Dr, Singapore 689715"
"338","kml_338",308,"103.744290210534","1.3859209795005","10 Choa Chu Kang Ave 4, Singapore 689810"
"339","kml_339",15,"103.744183872006","1.38590653914036","10 Choa Chu Kang Ave 4, Singapore 689810"
"340","kml_340",21,"103.744247287641","1.38478273331215","15 Choa Chu Kang Ave 4, Singapore 689813"
"341","kml_341",128,"103.785750094976","1.43688733416555","Woodlands Int, Singapore"
"342","kml_342",102,"103.785104212257","1.4366541851038","30 Woodlands Ave 2, Woodlands, Singapore 738343"
"343","kml_343",19,"103.786924740792","1.4373441127002","30 Woodlands Ave 2, /48/49, Singapore 738343"
"344","kml_344",90,"103.78546172333","1.43700452586949","Woodlands Int, Singapore"
"345","kml_345",0,"103.773832515361","1.43242609192433","Marsiling, Singapore"
"346","kml_346",70,"103.775198633284","1.43245149640155","71 Woodlands Ave 3, Singapore 739044"
"347","kml_347",13,"103.773887332252","1.43297914181373","163 Woodlands Street 13, Singapore 730163"
"348","kml_348",109,"103.785692593468","1.43650295756837","Woodlands Int, Singapore"
"349","kml_349",110,"103.785224125204","1.4363299790828","1 Woodlands Square, Singapore 738099"
"350","kml_350",10,"103.938617611519","1.34499015738702","Tampines West, Singapore"
"351","kml_351",21,"103.938178090439","1.34521014647861","803, Singapore 520802"
"352","kml_352",3,"103.938169482368","1.34536046915581","2 Tampines Avenue 4 Tampines West MRT Station, Singapore 520803"
"353","kml_353",9,"103.938740885397","1.34500069149444","Tampines West, Singapore"
"354","kml_354",27,"103.938228567142","1.34519160209963","2 Tampines Ave 4, Singapore 529683"
"355","kml_355",9,"103.938744119358","1.34506549893235","Tampines West, Singapore"
"356","kml_356",15,"103.938648798916","1.34505701287182","Tampines West, Singapore"
"357","kml_357",32,"103.786712700887","1.43636069812793","1 Woodlands Square, Singapore 738099"
"358","kml_358",98,"103.800157648021","1.44039710170558","70 Woodlands Ave 7, Singapore 738344"
"359","kml_359",72,"103.800111911925","1.44023529168004","Admiralty, Singapore"
"360","kml_360",10,"103.801078295727","1.44126684038137","718 Woodlands Ave 6, Singapore 730718"
"361","kml_361",15,"103.80120338843","1.44091846379072","70 Ave 7 Admiralty MRT Station, Singapore 738344"
"362","kml_362",36,"103.801911640377","1.44102274312087","Admiralty, Singapore"
"363","kml_363",186,"103.801545737224","1.44068307782259","678A Woodlands Ave 6, Stall 1, Singapore 731678"
"364","kml_364",80,"103.801548509358","1.44067680077778","678A Woodlands Ave 6, Stall 1, Singapore 731678"
"365","kml_365",100,"103.826075440921","1.31982939332213","395 Bukit Timah Rd, Singapore 259735"
"366","kml_366",54,"103.796560898423","1.3308356651698","785 Bukit Timah Rd, Singapore 269761"
"367","kml_367",110,"103.807737248681","1.32640836368993","Opp Tan Kah Kee Stn, Singapore"
"368","kml_368",84,"103.807080315343","1.32583086414779","Tan Kah Kee Stn, Singapore"
"369","kml_369",24,"103.782977106173","1.33543722961632","Bukit Timah Rd, King Albert Park, Singapore"
"370","kml_370",164,"103.782967402569","1.33553068832376","Bukit Timah Rd, King Albert Park, Singapore"
"371","kml_371",138,"103.761107908203","1.37904082230662","950 Upper Bukit Timah Rd, Singapore 678213"
"372","kml_372",69,"103.762769731421","1.37779103464051","Bukit Panjang, Singapore"
"373","kml_373",93,"103.764492729029","1.36978849600726","Cashew, Singapore"
"374","kml_374",39,"103.766948878387","1.36223304360076","500G Upper Bukit Timah Rd, Hillview, Singapore 678107"
"375","kml_375",78,"103.766942642396","1.36220165794299","4 Hillview Rd, Singapore 669320"
"376","kml_376",57,"103.768010516864","1.36270245952955","500 Upper Bukit Timah Rd, Singapore 678106"
"377","kml_377",26,"103.767809555982","1.36253855229218","500 Upper Bukit Timah Rd, Singapore 678108"
"378","kml_378",42,"103.767815792174","1.36256296332948","500 Upper Bukit Timah Rd, Singapore 678108"
"379","kml_379",24,"103.775384715845","1.34147597146712","110 Upper Bukit Timah Rd, Singapore 588169"
"380","kml_380",55,"103.775758267565","1.33990949743388","110 Upper Bukit Timah Rd, Singapore 588169"
"381","kml_381",73,"103.749527734958","1.34871932491478","Bukit Batok, Singapore"
"382","kml_382",76,"103.749838175394","1.34914338777363","10 Bukit Batok Central, Level 1, Singapore 659958"
"383","kml_383",86,"103.75179410401","1.35949520028024","BUkit Gombak, Singapore"
"384","kml_384",0,"103.75012694579","1.34995076107685","630 Bukit Batok Central, Singapore 650630"
"385","kml_385",0,"103.750036556811","1.34984310162474","630 Bukit Batok Central, 01-146, Singapore 650630"
"386","kml_386",20,"103.751424057295","1.35857350717235","372 Bukit Batok West Ave 5, Singapore"
"387","kml_387",132,"103.802332774715","1.44130706418799","683B Woodlands Drive 62, Block 683B, Singapore 732683"
"388","kml_388",204,"103.79960369234","1.44002814744243","671A Woodlands Drive 71, Singapore 731671"
"389","kml_389",14,"103.905331799829","1.39931764567324","102B Punggol Field, Singapore 822102"
"390","kml_390",14,"103.912149660633","1.39365032728321","128A Punggol Field Walk, Block 128A, Singapore 821128"
"391","kml_391",0,"103.720449351225","1.34437789411164","Lakeside Stn, Singapore"
"392","kml_392",0,"103.894006856516","1.31824345973716","30 Paya Lebar Rd, Singapore 409006"
"393","kml_393",0,"103.892935345216","1.3178055985774","Paya Lebar, Singapore"
"394","kml_394",0,"103.807662819574","1.32648793397353","Opp Tan Kah Kee Stn, Singapore"
"395","kml_395",371,"103.821237706495","1.44937086669473","3 Canberra Rd, Singapore 759763"
"396","kml_396",100,"103.820054156409","1.44928237947733","Sembawang, Singapore"
